Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
6/1/2021,Tuesday,9:30 AM,0,0,0,0,0,0
6/1/2021,Tuesday,10:30 AM,1,0,0,0,0,1
6/1/2021,Tuesday,11:30 AM,2,0,1,0,0,3
6/1/2021,Tuesday,12:30 PM,3,0,0,0,0,3
6/1/2021,Tuesday,1:30 PM,4,0,0,0,1,5
6/1/2021,Tuesday,2:30 PM,3,0,0,0,0,3
6/1/2021,Tuesday,3:30 PM,2,0,0,0,0,2
6/1/2021,Tuesday,4:30 PM,1,0,0,0,0,1
6/1/2021,Tuesday,4:30 PM,2,0,0,0,0,2
6/2/2021,Wednesday,9:30 AM,0,0,0,0,0,0
6/2/2021,Wednesday,10:30 AM,2,0,0,0,0,2
6/2/2021,Wednesday,11:30 AM,1,0,1,0,0,2
6/2/2021,Wednesday,12:30 PM,3,0,0,0,0,3
6/2/2021,Wednesday,1:30 PM,2,0,0,0,0,2
6/2/2021,Wednesday,2:30 PM,2,0,0,0,0,2
6/2/2021,Wednesday,3:30 PM,1,0,0,0,0,1
6/2/2021,Wednesday,4:30 PM,0,0,0,0,0,0
6/2/2021,Wednesday,5:30 PM,1,0,0,0,0,1
6/3/2021,Thursday,7:30 AM,0,0,0,0,0,0
6/3/2021,Thursday,8:30 AM,0,0,0,0,0,0
6/3/2021,Thursday,9:30 AM,0,0,0,0,0,0
6/3/2021,Thursday,10:30 AM,1,0,0,0,0,1
6/3/2021,Thursday,1:30 PM,2,0,0,0,1,3
6/3/2021,Thursday,2:30 PM,0,0,0,0,1,1
6/3/2021,Thursday,3:30 PM,0,0,0,0,1,1
6/3/2021,Thursday,5:30 PM,1,0,0,0,0,1
6/4/2021,Friday,7:30 AM,1,0,0,0,0,1
6/4/2021,Friday,9:30 AM,1,0,0,0,0,1
6/4/2021,Friday,10:30 AM,1,0,0,0,0,1
6/4/2021,Friday,11:30 AM,2,0,0,0,0,2
6/4/2021,Friday,12:30 PM,1,0,0,0,0,1
6/4/2021,Friday,1:30 PM,0,0,0,0,0,0
6/4/2021,Friday,2:30 PM,2,0,0,0,0,2
6/4/2021,Friday,2:30 PM,2,0,0,0,0,2
6/4/2021,Friday,3:30 PM,7,0,0,0,0,7
6/4/2021,Friday,4:30 PM,1,0,0,0,1,2
