Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
11/5/2019,Tuesday,12:30 PM,31,9,37,9,3,89
11/5/2019,Tuesday,1:30 PM,17,11,18,8,5,59
11/5/2019,Tuesday,2:30 PM,24,5,19,5,3,56
11/5/2019,Tuesday,5:30 PM,18,8,16,12,1,55
11/5/2019,Tuesday,6:30 PM,13,6,7,2,0,28
11/5/2019,Tuesday,7:30 PM,8,6,12,1,0,27
11/5/2019,Tuesday,8:30 PM,9,3,6,3,0,21
11/6/2019,Wednesday,7:30 AM,3,0,0,0,0,3
11/6/2019,Wednesday,8:30 AM,12,3,3,3,0,21
11/6/2019,Wednesday,9:30 AM,23,4,10,0,0,37
11/6/2019,Wednesday,10:30 AM,26,7,22,4,0,59
11/6/2019,Wednesday,11:30 AM,21,9,30,14,0,74
11/6/2019,Wednesday,12:30 PM,37,12,51,7,0,107
11/6/2019,Wednesday,1:30 PM,18,7,17,7,3,52
11/6/2019,Wednesday,2:30 PM,9,8,10,4,2,33
11/6/2019,Wednesday,3:30 PM,24,8,6,17,0,55
11/6/2019,Wednesday,5:30 PM,15,8,7,2,0,32
11/6/2019,Wednesday,6:30 PM,13,3,5,1,0,22
11/6/2019,Wednesday,7:30 PM,16,5,9,2,0,32
11/6/2019,Wednesday,8:30 PM,9,2,0,0,0,11
11/7/2019,Thursday,7:30 AM,2,0,0,0,0,2
11/7/2019,Thursday,8:30 AM,5,4,3,0,0,12
11/7/2019,Thursday,9:30 AM,14,7,5,1,0,27
11/7/2019,Thursday,10:30 AM,18,9,15,4,2,48
11/7/2019,Thursday,11:30 AM,21,12,22,17,6,78
11/7/2019,Thursday,12:30 PM,38,11,35,9,5,98
11/7/2019,Thursday,1:30 PM,21,8,16,4,2,51
11/7/2019,Thursday,2:30 PM,24,4,13,5,2,48
11/7/2019,Thursday,3:30 PM,26,5,16,4,2,53
11/7/2019,Thursday,5:30 PM,29,5,19,3,1,57
11/7/2019,Thursday,6:30 PM,15,5,12,4,0,36
11/7/2019,Thursday,7:30 PM,8,5,6,4,0,23
11/7/2019,Thursday,8:30 PM,1,2,5,0,0,8
11/8/2019,Friday,7:30 AM,2,0,0,0,0,2
11/8/2019,Friday,8:30 AM,6,2,2,1,0,11
11/8/2019,Friday,9:30 AM,7,2,2,6,0,17
11/8/2019,Friday,10:30 AM,13,3,1,2,0,19
11/8/2019,Friday,11:30 AM,7,4,9,1,1,22
11/8/2019,Friday,12:30 PM,15,3,16,1,3,38
11/8/2019,Friday,5:30 PM,14,2,4,7,0,27
11/9/2019,Saturday,9:30 AM,3,0,0,0,0,3
11/9/2019,Saturday,10:30 AM,4,2,3,1,1,11
11/9/2019,Saturday,11:30 AM,5,2,7,1,0,15
11/9/2019,Saturday,12:30 PM,4,4,8,1,0,17
11/9/2019,Saturday,1:30 PM,7,5,6,6,0,24
11/9/2019,Saturday,3:30 PM,7,3,6,4,0,20
11/9/2019,Saturday,4:30 PM,6,1,5,1,0,13
11/11/2019,Monday,7:30 AM,2,0,0,0,0,2
11/11/2019,Monday,8:30 AM,12,5,6,2,2,27
11/11/2019,Monday,9:30 AM,25,8,26,9,3,71
11/11/2019,Monday,11:30 AM,31,9,30,19,1,90
11/11/2019,Monday,12:30 PM,43,11,55,4,0,113
11/11/2019,Monday,1:30 PM,12,8,22,15,0,57
11/11/2019,Monday,1:30 PM,17,10,20,11,0,58
11/11/2019,Monday,2:30 PM,15,5,10,4,3,37
11/11/2019,Monday,3:30 PM,16,5,16,15,3,55
11/11/2019,Monday,5:30 PM,21,4,18,5,1,49
11/11/2019,Monday,6:30 PM,8,3,12,1,0,24
11/11/2019,Monday,7:30 PM,5,2,5,6,0,18
11/11/2019,Monday,8:30 PM,9,2,6,2,0,19
11/12/2019,Tuesday,7:30 AM,3,0,1,1,3,8
11/12/2019,Tuesday,8:30 AM,8,1,5,2,0,16
