Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
6/14/2019,Friday,7:30 AM,2,0,0,0,0,2
6/14/2019,Friday,8:30 AM,2,0,1,0,0,3
6/14/2019,Friday,9:30 AM,4,0,2,0,0,6
6/14/2019,Friday,9:30 AM,11,1,2,0,0,14
6/14/2019,Friday,11:30 AM,10,1,1,0,0,12
6/14/2019,Friday,12:30 PM,11,2,0,0,3,16
6/17/2019,Monday,7:30 AM,1,0,0,0,0,1
6/17/2019,Monday,8:30 AM,6,2,4,1,0,13
6/17/2019,Monday,9:30 AM,8,2,7,1,0,18
6/17/2019,Monday,10:30 AM,9,2,6,1,0,18
6/17/2019,Monday,11:30 AM,5,4,6,2,1,18
6/17/2019,Monday,12:30 PM,14,2,9,1,1,27
6/17/2019,Monday,1:30 PM,8,4,4,0,4,20
6/17/2019,Monday,2:30 PM,9,3,7,0,0,19
6/17/2019,Monday,5:30 PM,9,4,7,7,1,28
6/17/2019,Monday,6:30 PM,5,1,5,2,0,13
6/17/2019,Monday,7:30 PM,3,1,6,0,0,10
6/18/2019,Tuesday,7:30 AM,1,0,0,0,0,1
6/18/2019,Tuesday,8:30 AM,5,0,3,2,1,11
6/18/2019,Tuesday,9:30 AM,5,0,3,0,0,8
6/18/2019,Tuesday,10:30 AM,1,2,7,2,0,12
6/18/2019,Tuesday,11:30 AM,8,2,3,3,0,16
6/18/2019,Tuesday,12:30 PM,22,2,6,4,2,36
6/18/2019,Tuesday,1:30 PM,11,4,7,2,2,26
6/18/2019,Tuesday,2:30 PM,8,1,3,2,0,14
6/18/2019,Tuesday,4:30 PM,12,1,6,0,0,19
6/18/2019,Tuesday,5:30 PM,9,3,6,2,0,20
6/18/2019,Tuesday,6:30 PM,3,0,3,3,0,9
6/18/2019,Tuesday,7:30 PM,2,0,2,3,1,8
6/18/2019,Tuesday,8:30 PM,0,0,3,0,6,9
6/19/2019,Wednesday,7:30 AM,1,2,0,0,2,5
6/19/2019,Wednesday,8:30 AM,2,0,1,0,0,3
6/19/2019,Wednesday,9:30 AM,10,2,15,1,1,29
6/19/2019,Wednesday,10:30 AM,6,1,1,2,0,10
6/19/2019,Wednesday,11:30 AM,12,2,8,1,0,23
6/19/2019,Wednesday,12:30 PM,16,1,10,4,1,32
6/19/2019,Wednesday,2:30 PM,9,1,6,2,0,18
6/19/2019,Wednesday,6:30 PM,3,2,5,0,0,10
6/19/2019,Wednesday,7:30 PM,1,1,3,3,0,8
6/19/2019,Wednesday,8:30 PM,2,1,1,0,0,4
6/20/2019,Thursday,7:30 AM,3,0,0,0,1,4
6/20/2019,Thursday,8:30 AM,2,0,1,2,0,5
6/20/2019,Thursday,9:30 AM,4,1,6,0,1,12
6/20/2019,Thursday,10:30 AM,1,1,2,0,2,6
6/20/2019,Thursday,12:30 PM,18,3,13,6,3,43
6/20/2019,Thursday,1:30 PM,13,3,5,3,0,24
6/20/2019,Thursday,2:30 PM,8,3,3,3,0,17
6/20/2019,Thursday,5:30 PM,13,1,3,0,0,17
6/20/2019,Thursday,6:30 PM,0,1,1,0,0,2
6/20/2019,Thursday,7:30 PM,2,0,1,0,0,3
6/21/2019,Friday,7:30 AM,1,0,0,0,0,1
6/21/2019,Friday,8:30 AM,2,0,0,2,0,4
6/21/2019,Friday,9:30 AM,3,0,1,2,2,8
6/21/2019,Friday,10:30 AM,9,2,1,2,0,14
6/21/2019,Friday,11:30 AM,9,3,0,0,0,12
6/21/2019,Friday,12:30 PM,8,3,0,0,0,11
6/24/2019,Monday,7:30 AM,2,0,1,0,0,3
6/24/2019,Monday,8:30 AM,6,1,1,0,1,9
6/24/2019,Monday,9:30 AM,6,2,4,1,0,13
6/24/2019,Monday,10:30 AM,12,2,2,2,0,18
6/24/2019,Monday,11:30 AM,9,0,8,1,0,18
6/24/2019,Monday,12:30 PM,20,5,9,2,0,36
6/24/2019,Monday,1:30 PM,14,0,3,0,0,17
6/24/2019,Monday,2:30 PM,5,1,7,1,0,14
6/24/2019,Monday,5:30 PM,9,2,4,0,0,15
6/24/2019,Monday,6:30 PM,5,0,5,1,0,11
6/24/2019,Monday,7:30 PM,6,0,1,0,0,7
6/24/2019,Monday,8:30 PM,4,0,0,0,0,4
6/25/2019,Tuesday,7:30 AM,0,0,0,0,0,0
6/25/2019,Tuesday,8:30 AM,3,0,1,0,0,4
6/25/2019,Tuesday,9:30 AM,2,0,4,0,0,6
6/25/2019,Tuesday,10:30 AM,4,3,4,0,0,11
6/25/2019,Tuesday,11:30 AM,6,3,3,1,0,13
6/25/2019,Tuesday,12:30 PM,13,3,4,1,0,21
6/25/2019,Tuesday,1:30 PM,13,3,0,3,0,19
6/25/2019,Tuesday,2:30 PM,9,2,6,1,0,18
6/25/2019,Tuesday,4:30 PM,6,0,4,4,0,14
6/25/2019,Tuesday,5:30 PM,9,1,5,3,0,18
6/25/2019,Tuesday,8:30 PM,5,0,0,0,0,5
6/26/2019,Wednesday,7:30 AM,1,0,0,0,0,1
6/26/2019,Wednesday,8:30 AM,5,0,2,0,0,7
6/26/2019,Wednesday,9:30 AM,7,1,3,1,0,12
6/26/2019,Wednesday,10:30 AM,4,2,5,1,2,14
6/26/2019,Wednesday,11:30 AM,4,2,15,0,2,23
6/26/2019,Wednesday,12:30 PM,10,3,16,0,3,32
6/26/2019,Wednesday,1:30 PM,6,2,4,0,0,12
6/26/2019,Wednesday,4:30 PM,15,1,1,1,0,18
6/26/2019,Wednesday,5:30 PM,10,2,6,1,0,19
