Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
2/14/2019,Thursday,8:30 AM,19,2,4,3,0,28
2/14/2019,Thursday,9:30 AM,18,4,20,6,4,52
2/14/2019,Thursday,10:30 AM,30,6,20,12,5,73
2/14/2019,Thursday,11:30 AM,25,10,12,4,1,52
2/14/2019,Thursday,12:30 PM,22,7,28,7,0,64
2/14/2019,Thursday,1:30 PM,20,5,8,0,2,35
2/14/2019,Thursday,2:30 PM,22,7,10,9,2,50
2/14/2019,Thursday,3:30 PM,20,5,15,4,0,44
2/14/2019,Thursday,4:30 PM,20,3,14,5,0,42
2/14/2019,Thursday,7:30 PM,9,0,1,4,0,14
2/14/2019,Thursday,8:30 PM,4,0,0,2,0,6
2/15/2019,Friday,7:30 AM,1,0,0,0,0,1
2/15/2019,Friday,8:30 AM,4,0,0,0,0,4
2/15/2019,Friday,9:30 AM,3,0,1,0,0,4
2/15/2019,Friday,11:30 AM,6,3,4,0,1,14
2/15/2019,Friday,12:30 PM,9,4,2,0,1,16
2/15/2019,Friday,2:30 PM,8,3,1,0,0,12
2/15/2019,Friday,5:30 PM,5,3,1,3,0,12
2/15/2019,Friday,6:30 PM,9,1,3,3,0,16
2/15/2019,Friday,7:30 PM,5,1,3,1,0,10
2/15/2019,Friday,8:30 PM,2,1,2,0,0,5
2/16/2019,Saturday,9:30 AM,0,0,2,0,0,2
2/16/2019,Saturday,10:30 AM,4,2,3,0,1,10
2/16/2019,Saturday,11:30 AM,7,2,4,0,2,15
2/16/2019,Saturday,1:30 PM,7,1,2,2,2,14
2/16/2019,Saturday,2:30 PM,4,1,3,1,0,9
2/16/2019,Saturday,3:30 PM,8,2,7,2,0,19
2/16/2019,Saturday,4:30 PM,7,0,3,1,0,11
2/16/2019,Saturday,5:30 PM,3,0,0,2,0,5
2/18/2019,Monday,7:30 AM,2,0,0,0,0,2
2/18/2019,Monday,8:30 AM,9,2,10,2,0,23
2/18/2019,Monday,9:30 AM,16,6,13,4,0,39
2/18/2019,Monday,10:30 AM,24,13,28,7,4,76
2/18/2019,Monday,2:30 PM,34,10,19,1,7,71
2/18/2019,Monday,3:30 PM,25,7,13,3,3,51
2/18/2019,Monday,4:30 PM,17,7,15,0,2,41
2/18/2019,Monday,5:30 PM,24,7,17,0,1,49
2/18/2019,Monday,7:30 PM,11,2,10,2,6,31
2/18/2019,Monday,8:30 PM,6,1,9,2,2,20
2/19/2019,Tuesday,7:30 AM,10,0,1,0,2,13
2/19/2019,Tuesday,8:30 AM,6,1,9,4,3,23
2/19/2019,Tuesday,10:30 AM,34,7,25,10,5,81
2/19/2019,Tuesday,11:30 AM,21,5,27,3,3,59
2/19/2019,Tuesday,12:30 PM,37,4,39,4,3,87
2/19/2019,Tuesday,1:30 PM,25,6,14,4,2,51
2/19/2019,Tuesday,2:30 PM,24,9,14,2,0,49
2/19/2019,Tuesday,3:30 PM,20,6,12,4,0,42
2/19/2019,Tuesday,4:30 PM,20,4,9,4,0,37
2/19/2019,Tuesday,5:30 PM,19,3,9,5,1,37
2/19/2019,Tuesday,6:30 PM,16,1,5,1,2,25
2/19/2019,Tuesday,7:30 PM,17,0,6,1,1,25
2/19/2019,Tuesday,8:30 PM,5,0,0,0,0,5
2/20/2019,Wednesday,7:30 AM,4,0,0,0,0,4
2/20/2019,Wednesday,8:30 AM,13,2,13,3,0,31
2/20/2019,Wednesday,9:30 AM,23,5,12,4,1,45
2/20/2019,Wednesday,10:30 AM,23,7,14,12,0,56
2/20/2019,Wednesday,11:30 AM,24,10,24,4,0,62
2/20/2019,Wednesday,12:30 PM,39,10,39,9,7,104
2/20/2019,Wednesday,1:30 PM,34,6,15,14,3,72
2/20/2019,Wednesday,2:30 PM,2,3,7,8,2,22
2/20/2019,Wednesday,3:30 PM,17,5,10,3,3,38
2/20/2019,Wednesday,4:30 PM,17,6,13,0,2,38
2/20/2019,Wednesday,5:30 PM,11,3,12,1,0,27
2/20/2019,Wednesday,6:30 PM,9,3,8,2,3,25
2/20/2019,Wednesday,7:30 PM,2,2,10,6,0,20
2/20/2019,Wednesday,8:30 PM,6,1,6,5,0,18
2/21/2019,Thursday,8:30 AM,10,0,4,2,1,17
2/21/2019,Thursday,9:30 AM,17,6,21,7,3,54
2/21/2019,Thursday,10:30 AM,21,6,26,3,7,63
2/21/2019,Thursday,11:30 AM,23,8,35,2,3,71
2/21/2019,Thursday,12:30 PM,34,8,40,4,4,90
2/21/2019,Thursday,1:30 PM,19,7,17,5,5,53
2/21/2019,Thursday,2:30 PM,13,4,7,5,0,29
2/21/2019,Thursday,3:30 PM,26,4,10,3,0,43
2/21/2019,Thursday,4:30 PM,29,3,13,5,1,51
2/21/2019,Thursday,5:30 PM,14,3,13,3,0,33
2/21/2019,Thursday,6:30 PM,15,2,2,2,1,22
