Date,DayOfWeek,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2019-09-16,Monday,6:30 PM,5,3,6,3,1,18,9/16/2019
2019-09-16,Monday,7:30 PM,4,1,5,4,0,14,9/16/2019
2019-09-16,Monday,8:30 PM,0,1,0,0,0,1,9/16/2019
2019-09-17,Tuesday,9:30 AM,21,4,6,11,3,45,9/17/2019
2019-09-17,Tuesday,9:30 AM,19,6,3,11,7,46,9/17/2019
2019-09-17,Tuesday,10:30 AM,24,6,6,12,6,54,9/17/2019
2019-09-17,Tuesday,11:30 AM,22,10,4,9,9,54,9/17/2019
2019-09-17,Tuesday,2:30 PM,12,6,22,8,6,54,9/17/2019
2019-09-17,Tuesday,3:30 PM,11,7,29,9,1,57,9/17/2019
2019-09-17,Tuesday,4:30 PM,16,4,7,9,4,40,9/17/2019
2019-09-17,Tuesday,5:30 PM,16,6,3,7,5,37,9/17/2019
2019-09-17,Tuesday,6:30 PM,4,0,6,4,1,15,9/17/2019
2019-09-17,Tuesday,7:30 PM,6,1,4,5,0,16,9/17/2019
2019-09-17,Tuesday,8:30 PM,8,0,1,3,0,12,9/17/2019
2019-09-18,Wednesday,8:30 AM,21,9,7,8,3,48,9/18/2019
2019-09-18,Wednesday,9:30 AM,17,10,7,8,3,45,9/18/2019
2019-09-18,Wednesday,10:30 AM,30,10,7,10,8,65,9/18/2019
2019-09-18,Wednesday,12:30 PM,33,17,10,11,19,90,9/18/2019
2019-09-18,Wednesday,1:30 PM,17,6,7,9,3,42,9/18/2019
2019-09-18,Wednesday,2:30 PM,17,0,5,11,2,35,9/18/2019
2019-09-18,Wednesday,4:30 PM,19,5,6,6,3,39,9/18/2019
2019-09-18,Wednesday,5:30 PM,25,11,2,10,3,51,9/18/2019
2019-09-18,Wednesday,6:30 PM,6,3,2,3,0,14,9/18/2019
2019-09-18,Wednesday,7:30 PM,10,3,1,6,1,21,9/18/2019
2019-09-18,Wednesday,8:30 PM,8,0,1,3,0,12,9/18/2019
2019-09-19,Thursday,8:30 AM,11,6,0,9,7,33,9/19/2019
2019-09-19,Thursday,9:30 AM,15,4,3,9,9,40,9/19/2019
2019-09-19,Thursday,10:30 AM,23,6,7,12,9,57,9/19/2019
2019-09-19,Thursday,11:30 AM,22,10,6,12,4,54,9/19/2019
2019-09-19,Thursday,12:30 PM,33,21,14,19,3,90,9/19/2019
2019-09-19,Thursday,1:30 PM,16,8,5,10,5,44,9/19/2019
2019-09-19,Thursday,1:30 PM,22,4,10,7,1,44,9/19/2019
2019-09-19,Thursday,2:30 PM,19,7,15,9,1,51,9/19/2019
2019-09-19,Thursday,4:30 PM,11,9,3,7,3,33,9/19/2019
2019-09-19,Thursday,5:30 PM,10,11,2,9,6,38,9/19/2019
2019-09-19,Thursday,6:30 PM,5,3,1,1,1,11,9/19/2019
2019-09-19,Thursday,7:30 PM,5,2,7,2,1,17,9/19/2019
2019-09-19,Thursday,8:30 PM,4,1,2,2,1,10,9/19/2019
2019-09-20,Friday,8:30 AM,4,3,2,2,1,12,9/20/2019
2019-09-20,Friday,9:30 AM,3,0,0,4,0,7,9/20/2019
2019-09-20,Friday,10:30 AM,7,4,2,3,0,16,9/20/2019
2019-09-20,Friday,12:30 PM,13,5,9,4,3,34,9/20/2019
2019-09-20,Friday,1:30 PM,8,1,11,3,2,25,9/20/2019
2019-09-20,Friday,2:30 PM,10,1,6,1,0,18,9/20/2019
2019-09-20,Friday,4:30 PM,7,1,1,2,1,12,9/20/2019
2019-09-21,Saturday,10:30 AM,0,0,1,2,1,4,9/21/2019
2019-09-21,Saturday,11:30 AM,2,0,1,1,2,6,9/21/2019
2019-09-21,Saturday,12:30 PM,3,0,2,2,2,9,9/21/2019
2019-09-21,Saturday,1:30 PM,3,0,1,0,3,7,9/21/2019
2019-09-23,Monday,8:30 AM,12,4,6,11,3,36,9/23/2019
2019-09-23,Monday,9:30 AM,22,6,6,12,2,48,9/23/2019
2019-09-23,Monday,10:30 AM,30,12,12,12,6,72,9/23/2019
2019-09-23,Monday,11:30 AM,22,33,31,15,5,106,9/23/2019
2019-09-23,Monday,5:30 PM,19,4,3,2,4,32,9/23/2019
2019-09-23,Monday,6:30 PM,6,1,6,2,2,17,9/23/2019
2019-09-23,Monday,7:30 PM,6,0,0,3,0,9,9/23/2019
2019-09-23,Monday,8:30 PM,4,2,0,2,0,8,9/23/2019
2019-09-24,Tuesday,8:30 AM,12,3,1,6,2,24,9/24/2019
2019-09-24,Tuesday,9:30 AM,20,5,2,6,7,40,9/24/2019
2019-09-24,Tuesday,10:30 AM,25,8,4,12,10,59,9/24/2019
2019-09-24,Tuesday,11:30 AM,22,12,25,15,9,83,9/24/2019
2019-09-24,Tuesday,1:30 PM,17,10,6,11,4,48,9/24/2019
2019-09-24,Tuesday,3:30 PM,17,5,15,10,3,50,9/24/2019
2019-09-24,Tuesday,4:30 PM,17,3,3,12,3,38,9/24/2019
2019-09-24,Tuesday,5:30 PM,15,2,5,4,4,30,9/24/2019
2019-09-24,Tuesday,6:30 PM,7,2,18,0,1,28,9/24/2019
2019-09-24,Tuesday,7:30 PM,8,1,18,3,3,33,9/24/2019
2019-09-24,Tuesday,8:30 PM,6,0,5,1,2,14,9/24/2019
2019-09-25,Wednesday,9:30 AM,12,6,10,8,8,44,9/25/2019
2019-09-25,Wednesday,10:30 AM,20,10,8,12,6,56,9/25/2019
2019-09-25,Wednesday,11:30 AM,15,16,8,12,3,54,9/25/2019
2019-09-25,Wednesday,12:30 PM,34,20,12,14,6,86,9/25/2019
2019-09-25,Wednesday,1:30 PM,17,23,12,11,5,68,9/25/2019
2019-09-25,Wednesday,2:30 PM,29,5,11,9,3,57,9/25/2019
2019-09-25,Wednesday,3:30 PM,20,15,15,11,3,64,9/25/2019
2019-09-25,Wednesday,4:30 PM,16,5,3,10,3,37,9/25/2019
2019-09-25,Wednesday,5:30 PM,18,10,5,10,2,45,9/25/2019
2019-09-25,Wednesday,6:30 PM,7,1,23,4,1,36,9/25/2019
2019-09-25,Wednesday,7:30 PM,6,1,22,2,1,32,9/25/2019
2019-09-25,Wednesday,8:30 PM,5,0,1,3,0,9,9/25/2019
2019-09-26,Thursday,8:30 AM,12,7,2,7,6,34,9/26/2019
2019-09-26,Thursday,9:30 AM,20,9,9,9,6,53,9/26/2019
2019-09-26,Thursday,10:30 AM,26,9,12,14,3,64,9/26/2019
2019-09-26,Thursday,11:30 AM,30,12,22,15,6,85,9/26/2019
2019-09-26,Thursday,12:30 PM,43,22,22,15,9,111,9/26/2019
2019-09-26,Thursday,1:30 PM,6,3,39,8,6,62,9/26/2019
2019-09-26,Thursday,2:30 PM,20,2,9,9,4,44,9/26/2019
2019-09-26,Thursday,3:30 PM,12,3,5,13,3,36,9/26/2019
2019-09-26,Thursday,4:30 PM,10,9,7,10,4,40,9/26/2019
2019-09-26,Thursday,5:30 PM,11,7,4,7,3,32,9/26/2019
2019-09-26,Thursday,6:30 PM,8,3,4,1,1,17,9/26/2019
2019-09-26,Thursday,7:30 PM,8,1,1,1,0,11,9/26/2019
2019-09-27,Friday,8:30 AM,3,0,1,3,1,8,9/27/2019
2019-09-27,Friday,9:30 AM,11,1,1,1,1,15,9/27/2019
2019-09-27,Friday,10:30 AM,11,2,2,3,2,20,9/27/2019
2019-09-27,Friday,11:30 AM,7,2,2,0,3,14,9/27/2019
2019-09-28,Saturday,12:30 PM,10,1,1,3,1,16,9/28/2019
2019-09-28,Saturday,1:30 PM,4,1,1,1,0,7,9/28/2019
2019-09-30,Monday,8:30 AM,6,4,3,6,4,23,9/30/2019
2019-09-30,Monday,10:30 AM,34,9,9,12,9,73,9/30/2019
2019-09-30,Monday,12:30 PM,31,26,21,14,6,98,9/30/2019
2019-09-30,Monday,1:30 PM,17,7,12,9,7,52,9/30/2019
2019-09-30,Monday,2:30 PM,17,10,9,13,4,53,9/30/2019
2019-09-30,Monday,1:30 PM,21,8,11,8,4,52,9/30/2019
2019-09-30,Monday,3:30 PM,21,8,11,8,4,52,9/30/2019
2019-09-30,Monday,4:30 PM,10,6,11,9,2,38,9/30/2019
2019-09-30,Monday,5:30 PM,15,3,7,9,2,36,9/30/2019
2019-09-30,Monday,6:30 PM,3,2,9,3,0,17,9/30/2019
2019-09-30,Monday,7:30 PM,7,0,7,1,2,17,9/30/2019
2019-09-30,Monday,8:30 PM,6,0,0,0,0,6,9/30/2019
2019-10-01,Tuesday,12:30 PM,26,12,5,34,12,89,10/1/2019
2019-10-01,Tuesday,1:30 PM,14,6,26,12,6,64,10/1/2019
2019-10-01,Tuesday,2:30 PM,15,4,20,10,5,54,10/1/2019
2019-10-01,Tuesday,5:30 PM,11,3,8,5,5,32,10/1/2019
2019-10-01,Tuesday,6:30 PM,10,0,5,0,2,17,10/1/2019
2019-10-01,Tuesday,7:30 PM,5,0,10,1,2,18,10/1/2019
2019-10-01,Tuesday,8:30 PM,3,0,7,0,0,10,10/1/2019
2019-10-02,Wednesday,8:30 AM,12,8,2,8,6,36,10/2/2019
2019-10-02,Wednesday,9:30 AM,22,6,6,6,6,46,10/2/2019
2019-10-02,Wednesday,10:30 AM,26,8,10,16,11,71,10/2/2019
2019-10-02,Wednesday,4:30 PM,16,7,7,11,4,45,10/2/2019
2019-10-02,Wednesday,5:30 PM,20,4,3,11,2,40,10/2/2019
2019-10-02,Wednesday,7:30 PM,5,2,3,4,0,14,10/2/2019
2019-10-02,Wednesday,8:30 PM,2,2,1,1,0,6,10/2/2019
2019-10-03,Thursday,8:30 AM,18,4,2,11,6,41,10/3/2019
2019-10-03,Thursday,9:30 AM,32,8,10,12,8,70,10/3/2019
2019-10-03,Thursday,10:30 AM,18,7,13,12,3,53,10/3/2019
2019-10-03,Thursday,11:30 AM,19,11,37,6,4,77,10/3/2019
2019-10-03,Thursday,12:30 PM,23,8,17,5,3,56,10/3/2019
2019-10-03,Thursday,1:30 PM,11,4,12,7,4,38,10/3/2019
2019-10-03,Thursday,2:30 PM,11,4,12,10,4,41,10/3/2019
2019-10-03,Thursday,3:30 PM,11,6,3,4,2,26,10/3/2019
2019-10-03,Thursday,4:30 PM,15,3,2,9,3,32,10/3/2019
2019-10-03,Thursday,5:30 PM,14,5,2,8,4,33,10/3/2019
2019-10-03,Thursday,6:30 PM,7,2,0,0,0,9,10/3/2019
2019-10-03,Thursday,7:30 PM,9,5,2,3,1,20,10/3/2019
2019-10-03,Thursday,8:30 PM,1,3,3,0,0,7,10/3/2019
2019-10-04,Friday,8:30 AM,3,0,1,6,2,12,10/4/2019
2019-10-04,Friday,9:30 AM,7,0,2,2,0,11,10/4/2019
2019-10-04,Friday,10:30 AM,3,0,3,0,2,8,10/4/2019
2019-10-05,Saturday,11:30 AM,3,0,1,0,1,5,10/5/2019
2019-10-05,Saturday,12:30 PM,4,0,0,0,0,4,10/5/2019
2019-10-07,Monday,8:30 AM,22,4,6,8,2,42,10/7/2019
2019-10-07,Monday,9:30 AM,18,9,8,10,3,48,10/7/2019
2019-10-07,Monday,10:30 AM,32,15,10,14,3,74,10/7/2019
2019-10-07,Monday,4:30 PM,12,3,5,7,5,32,10/7/2019
2019-10-07,Monday,5:30 PM,14,11,9,10,3,47,10/7/2019
2019-10-07,Monday,6:30 PM,6,2,8,5,1,22,10/7/2019
2019-10-07,Monday,7:30 PM,2,3,8,5,0,18,10/7/2019
2019-10-07,Monday,8:30 PM,3,0,4,1,0,8,10/7/2019
2019-10-08,Tuesday,8:30 AM,11,10,3,6,4,34,10/8/2019
2019-10-08,Tuesday,9:30 AM,23,14,6,9,5,57,10/8/2019
2019-10-08,Tuesday,11:30 AM,13,8,10,15,4,50,10/8/2019
2019-10-08,Tuesday,12:30 PM,32,21,11,19,10,93,10/8/2019
2019-10-08,Tuesday,1:30 PM,16,7,9,15,4,51,10/8/2019
2019-10-08,Tuesday,2:30 PM,20,10,9,10,3,52,10/8/2019
2019-10-08,Tuesday,3:30 PM,10,4,21,6,2,43,10/8/2019
2019-10-08,Tuesday,5:30 PM,11,4,15,6,3,39,10/8/2019
2019-10-08,Tuesday,6:30 PM,9,4,6,2,2,23,10/8/2019
2019-10-08,Tuesday,7:30 PM,5,1,5,0,2,13,10/8/2019
2019-10-08,Tuesday,8:30 PM,6,1,18,1,2,28,10/8/2019
2019-10-09,Wednesday,8:30 AM,10,4,2,6,3,25,10/9/2019
2019-10-09,Wednesday,9:30 AM,36,8,8,6,7,65,10/9/2019
2019-10-09,Wednesday,10:30 AM,27,13,6,6,4,56,10/9/2019
2019-10-09,Wednesday,5:30 PM,22,10,7,6,3,48,10/9/2019
2019-10-09,Wednesday,6:30 PM,2,3,5,2,1,13,10/9/2019
2019-10-09,Wednesday,7:30 PM,6,1,2,4,0,13,10/9/2019
2019-10-09,Wednesday,8:30 PM,1,3,22,5,1,32,10/9/2019
2019-10-10,Thursday,8:30 AM,13,4,8,4,4,33,10/10/2019
2019-10-10,Thursday,9:30 AM,7,4,12,7,8,38,10/10/2019
2019-10-10,Thursday,10:30 AM,19,4,10,5,8,46,10/10/2019
2019-10-10,Thursday,5:30 PM,10,4,2,7,6,29,10/10/2019
2019-10-10,Thursday,6:30 PM,6,3,4,2,4,19,10/10/2019
2019-10-10,Thursday,7:30 PM,7,4,1,0,2,14,10/10/2019
2019-10-10,Thursday,8:30 PM,1,2,3,0,0,6,10/10/2019
2019-10-11,Friday,8:30 AM,5,3,2,4,1,15,10/11/2019
2019-10-11,Friday,9:30 AM,5,2,3,2,0,12,10/11/2019
2019-10-11,Friday,2:30 PM,13,0,1,1,1,16,10/11/2019
2019-10-11,Friday,3:30 PM,13,1,3,2,0,19,10/11/2019
2019-10-11,Friday,4:30 PM,4,1,3,1,0,9,10/11/2019
