Date,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2021-09-20,7:30 PM,2,3,2,0,1,8,09-20-2021 7:30:08
2021-09-21,5:30 PM,6,7,3,1,5,22,09-21-2021 5:25:59
2021-09-21,6:30 PM,2,2,1,1,0,6,09-21-2021 6:25:08
2021-09-21,7:30 PM,0,0,1,1,0,2,09-21-2021 7:36:23
2021-09-21,8:30 PM,0,0,1,1,0,2,09-21-2021 8:30:46
2021-09-22,7:30 PM,2,1,12,2,0,17,09-22-2021 7:39:47
2021-09-23,7:30 PM,0,0,0,2,0,2,09-23-2021 7:49:52
2021-09-23,8:30 PM,0,0,0,1,0,1,09-23-2021 8:35:42
2021-09-25,10:30 AM,0,0,0,0,0,0,09-25-2021 10:29:01
2021-09-25,1:30 PM,3,1,0,0,0,4,09-25-2021 1:33:31
2021-09-27,5:30 PM,5,2,2,4,3,16,09-27-2021 5:50:21
2021-09-27,6:30 PM,1,1,2,3,2,9,09-27-2021 6:47:05
2021-09-27,7:30 PM,1,2,2,0,0,5,09-27-2021 7:32:01
2021-09-27,8:30 PM,1,0,0,0,0,1,09-27-2021 8:39:07
2021-09-28,5:30 PM,2,7,7,3,1,20,09-28-2021 5:27:22
2021-09-29,5:30 PM,8,4,3,2,2,19,09-29-2021 5:32:12
2021-09-29,6:30 PM,4,0,3,1,1,9,09-29-2021 6:33:08
2021-09-29,7:30 PM,4,0,2,1,1,8,09-29-2021 7:28:35
2021-09-30,6:30 PM,3,0,3,1,0,7,09-30-2021 6:32:46
2021-09-30,7:30 PM,1,2,1,1,0,5,09-30-2021 7:33:43
2021-09-30,8:30 PM,0,0,1,2,1,4,09-30-2021 8:36:47
2021-10-02,10:30 AM,1,0,0,0,0,1,10-02-2021 10:32:32
2021-10-02,11:30 AM,2,3,0,1,0,6,10-02-2021 11:29:57
2021-10-02,12:30 PM,3,3,0,1,0,7,10-02-2021 12:25:33
2021-10-02,1:30 PM,2,0,0,1,0,3,10-02-2021 1:37:51
2021-10-04,6:30 PM,3,1,2,1,1,8,10-04-2021 6:23:47
2021-10-04,7:30 PM,5,2,11,1,0,19,10-04-2021 7:22:32
2021-10-04,8:30 PM,2,0,4,0,0,6,10-04-2021 8:28:23
2021-10-05,6:30 PM,1,2,12,1,0,16,10-05-2021 6:37:21
2021-10-05,7:30 PM,1,1,7,1,0,10,10-05-2021 7:36:19
2021-10-06,5:30 PM,2,1,2,1,1,7,10-06-2021 5:34:05
2021-10-06,6:30 PM,1,0,1,1,0,3,10-06-2021 6:38:16
2021-10-06,7:30 PM,4,0,4,2,0,10,10-06-2021 7:38:04
2021-10-06,8:30 PM,1,1,2,0,0,4,10-06-2021 8:31:39
2021-10-06,8:30 PM,1,0,2,1,0,4,10-06-2021 8:35:41
2021-10-07,5:30 PM,7,1,1,3,0,12,10-07-2021 5:33:09
2021-10-07,6:30 PM,0,0,6,1,0,7,10-07-2021 6:37:35
2021-10-07,7:30 PM,3,0,1,1,1,6,10-07-2021 7:38:27
2021-10-07,8:30 PM,0,0,0,0,0,0,10-07-2021 8:35:24
