Semester,Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
Spring 2019,1/18/2019,Friday,6:30 PM,5,1,6,1,0,13
Spring 2019,1/18/2019,Friday,7:30 PM,4,0,0,0,1,5
Spring 2019,1/18/2019,Friday,8:30 PM,2,0,0,0,0,2
Spring 2019,1/19/2019,Saturday,9:30 AM,3,0,4,0,2,9
Spring 2019,1/19/2019,Saturday,10:30 AM,4,0,2,0,1,7
Spring 2019,1/19/2019,Saturday,11:30 AM,5,0,2,0,2,9
Spring 2019,1/19/2019,Saturday,12:30 PM,6,2,2,0,0,10
Spring 2019,1/19/2019,Saturday,1:30 PM,5,2,3,0,0,10
Spring 2019,1/19/2019,Saturday,2:30 PM,10,2,2,0,0,14
Spring 2019,1/19/2019,Saturday,3:30 PM,6,1,3,0,0,10
Spring 2019,1/19/2019,Saturday,4:30 PM,5,1,3,0,0,9
Spring 2019,1/19/2019,Saturday,5:30 PM,3,0,0,0,0,3
Spring 2019,1/22/2019,Tuesday,7:30 AM,2,0,0,0,1,3
Spring 2019,1/22/2019,Tuesday,8:30 AM,12,2,5,2,3,24
Spring 2019,1/22/2019,Tuesday,9:30 AM,14,2,9,5,3,33
Spring 2019,1/22/2019,Tuesday,11:30 AM,27,2,21,3,6,59
Spring 2019,1/22/2019,Tuesday,12:30 PM,48,8,38,8,7,109
Spring 2019,1/22/2019,Tuesday,1:30 PM,20,6,18,1,0,45
Spring 2019,1/22/2019,Tuesday,3:30 PM,12,3,15,2,1,33
Spring 2019,1/22/2019,Tuesday,4:30 PM,20,5,16,5,4,50
Spring 2019,1/22/2019,Tuesday,5:30 PM,21,8,7,1,1,38
Spring 2019,1/22/2019,Tuesday,6:30 PM,14,3,1,1,1,20
Spring 2019,1/22/2019,Tuesday,7:30 PM,11,2,1,0,0,14
Spring 2019,1/22/2019,Tuesday,8:30 PM,8,0,1,0,0,9
Spring 2019,1/23/2019,Wednesday,7:30 AM,4,0,0,0,0,4
Spring 2019,1/23/2019,Wednesday,8:30 AM,11,1,7,0,1,20
Spring 2019,1/23/2019,Wednesday,9:30 AM,19,6,9,1,0,35
Spring 2019,1/23/2019,Wednesday,10:30 AM,32,3,12,5,4,56
Spring 2019,1/23/2019,Wednesday,11:30 AM,30,6,19,5,4,64
Spring 2019,1/23/2019,Wednesday,12:30 PM,36,11,46,7,8,108
Spring 2019,1/23/2019,Wednesday,1:30 PM,26,9,22,5,1,63
Spring 2019,1/23/2019,Wednesday,2:30 PM,25,6,21,1,7,60
Spring 2019,1/23/2019,Wednesday,3:30 PM,17,6,16,0,4,43
Spring 2019,1/23/2019,Wednesday,5:30 PM,24,5,12,1,0,42
Spring 2019,1/23/2019,Wednesday,6:30 PM,5,2,7,3,0,17
Spring 2019,1/23/2019,Wednesday,7:30 PM,7,1,4,3,0,15
Spring 2019,1/23/2019,Wednesday,8:30 PM,6,2,4,3,0,15
Spring 2019,1/24/2019,Thursday,7:30 AM,4,0,0,0,0,4
Spring 2019,1/24/2019,Thursday,8:30 AM,8,2,3,2,0,15
Spring 2019,1/24/2019,Thursday,9:30 AM,18,5,16,4,2,45
Spring 2019,1/24/2019,Thursday,10:30 AM,22,7,21,4,2,56
Spring 2019,1/24/2019,Thursday,11:30 AM,21,5,22,2,3,53
Spring 2019,1/24/2019,Thursday,12:30 PM,39,6,44,4,3,96
Spring 2019,1/24/2019,Thursday,1:30 PM,14,6,12,2,2,36
Spring 2019,1/24/2019,Thursday,3:30 PM,22,3,13,1,0,39
Spring 2019,1/24/2019,Thursday,4:30 PM,14,3,14,5,0,36
Spring 2019,1/24/2019,Thursday,5:30 PM,16,2,20,5,0,43
Spring 2019,1/24/2019,Thursday,6:30 PM,8,1,9,2,0,20
Spring 2019,1/24/2019,Thursday,7:30 PM,13,1,5,2,0,21
Spring 2019,1/25/2019,Friday,7:30 AM,3,0,1,0,0,4
Spring 2019,1/25/2019,Friday,8:30 AM,6,1,0,1,0,8
Spring 2019,1/25/2019,Friday,9:30 AM,7,1,3,1,0,12
Spring 2019,1/25/2019,Friday,10:30 AM,14,1,5,1,1,22
Spring 2019,1/25/2019,Friday,12:30 PM,16,2,3,1,3,25
Spring 2019,1/25/2019,Friday,5:30 PM,10,2,5,1,0,18
Spring 2019,1/25/2019,Friday,6:30 PM,6,4,3,0,0,13
Spring 2019,1/25/2019,Friday,7:30 PM,6,4,0,0,0,10
Spring 2019,1/25/2019,Friday,8:30 PM,3,0,0,0,0,3
Spring 2019,1/26/2019,Saturday,9:30 AM,0,0,2,0,0,2
Spring 2019,1/26/2019,Saturday,10:30 AM,1,1,2,0,0,4
Spring 2019,1/26/2019,Saturday,11:30 AM,10,1,3,0,0,14
Spring 2019,1/26/2019,Saturday,1:30 PM,6,1,2,0,0,9
Spring 2019,1/26/2019,Saturday,2:30 PM,6,0,5,1,0,12
Spring 2019,1/26/2019,Saturday,3:30 PM,5,0,5,2,0,12
Spring 2019,1/26/2019,Saturday,4:30 PM,13,0,5,0,0,18
